转债代码,转债名称,正股代码,正股简称,股东大会日,下修前转股价,下修后转股价,当前转股价,最新价格,转股价值,转股溢价率,强赎进度(%),发行规模(亿),到期时间,正股净利润(亿),正股营收(亿),正股盈利状态,规模/净利(%),剩余年限,下修次数
110081,闻泰转债,600745,闻泰科技,2024-11-08,96.49,43.6,43.6,116.998,90.0229,29.96,69.2,86.0,2027-07-28,15.13,297.69,盈利,568.41,1.52,1
127049,希望转2,000876,新 希 望,2023-12-27,14.39,10.6,10.59,119.2,84.2304,41.52,64.8,81.5,2027-11-02,7.6,805.04,盈利,1072.37,1.78,1
128101,联创转债,002036,联创电子,2025-02-10,11.6,11.17,11.18,126.488,102.1467,23.83,78.6,3.0,2026-03-16,0.51,64.89,盈利,588.24,0.15,2
113048,晶科转债,601778,晶科科技,2025-09-23,5.21,4.5,4.5,127.004,92.8889,36.73,71.5,30.0,2027-04-23,3.56,31.22,盈利,842.7,1.25,1
123216,科顺转债,300737,科顺股份,2024-09-12,,,6.67,127.8,85.7571,49.03,66.0,21.98,2029-08-04,0.2,47.03,盈利,10990.0,3.54,2
123049,维尔转债,300190,维尔利,2025-04-23,4.63,3.55,3.55,128.288,128.4507,-0.13,98.8,9.172387,2026-04-13,0.08,12.78,盈利,11465.48,0.23,6
127075,百川转2,002455,百川股份,2025-05-14,8.18,7.53,7.53,128.878,95.2191,35.35,73.2,9.78,2028-10-19,0.05,42.77,盈利,19560.0,2.75,2
123064,万孚转债,300482,万孚生物,2026-01-14,27.0,21.1,21.1,130.3,103.4597,25.94,79.6,6.0,2026-09-01,1.34,16.9,盈利,447.76,0.61,2
123119,康泰转2,300601,康泰生物,2025-03-26,19.81,15.82,15.73,131.663,98.3471,33.88,75.7,20.0,2027-07-15,0.49,20.63,盈利,4081.63,1.48,3
123183,海顺转债,300501,海顺新材,2024-04-17,,,17.29,133.035,93.7536,41.9,72.1,6.33,2029-03-23,0.49,8.23,盈利,1291.84,3.17,2
128125,华阳转债,002949,华阳国际,2025-09-01,18.04,14.39,14.39,133.061,113.2731,17.47,87.1,4.5,2026-07-30,0.71,8.94,盈利,633.8,0.52,2
123196,正元转02,300645,正元智慧,2023-12-05,32.8,21.99,21.93,136.633,89.2385,53.11,68.6,3.5073,2029-04-18,0.07,7.68,盈利,5010.43,3.24,2
111016,神通转债,605228,神通科技,2024-07-18,,,11.48,137.278,135.8885,1.02,104.5,5.77,2029-07-25,1.13,13.02,盈利,510.62,3.51,1
118000,嘉元转债,688388,嘉元科技,2025-09-16,41.88,33.18,33.18,137.955,126.1001,9.4,97.0,12.4,2027-02-23,0.41,65.4,盈利,3024.39,1.09,2
127022,恒逸转债,000703,恒逸石化,2024-11-18,10.91,9.2,9.14,138.5,127.6805,8.47,98.2,20.0,2026-10-16,2.31,838.85,盈利,865.8,0.74,1
123172,漱玉转债,301017,漱玉平民,2024-03-06,21.16,15.0,14.95,139.848,115.4515,21.13,88.8,8.0,2028-12-15,1.09,74.46,盈利,733.94,2.9,1
118037,上声转债,688533,上声电子,2024-06-06,47.54,29.58,29.11,140.132,109.8592,27.56,84.5,5.2,2029-07-06,1.35,21.35,盈利,385.19,3.46,2
113678,中贝转债,603220,中贝通信,2024-07-11,32.88,27.45,20.95,141.751,109.4033,29.57,84.2,5.17,2029-10-19,0.85,23.17,盈利,608.24,3.75,2
113640,苏利转债,603585,苏利股份,2024-07-18,19.11,17.2,17.2,147.441,125.5233,17.46,96.6,9.57211,2028-02-16,1.39,20.64,盈利,688.64,2.07,1
113066,平煤转债,601666,平煤股份,2023-07-24,10.92,9.06,7.52,147.494,109.3085,34.93,84.1,29.0,2029-03-16,2.8,148.16,盈利,1035.71,3.15,1
113676,荣23转债,603165,荣晟环保,2024-01-17,15.74,12.06,10.51,148.111,142.6261,3.85,109.7,5.76,2029-08-18,1.71,16.09,盈利,336.84,3.58,2
123178,花园转债,300401,花园生物,2024-05-16,15.05,13.56,13.45,148.189,127.5836,16.15,98.1,12.0,2029-03-06,2.34,9.36,盈利,512.82,3.13,1
113653,永22转债,603681,永冠新材,2025-09-23,22.3,16.5,16.5,148.279,125.4545,18.19,96.5,7.7,2028-07-28,1.12,50.03,盈利,687.5,2.52,1
118038,金宏转债,688106,金宏气体,2024-10-14,26.97,19.07,18.97,152.898,128.0443,19.41,98.5,10.16,2029-07-17,1.16,20.31,盈利,875.86,3.49,1
118003,华兴转债,688001,华兴源创,2024-03-08,30.43,26.36,26.19,157.174,123.635,27.13,95.1,8.0,2027-11-29,1.52,15.79,盈利,526.32,1.86,1
113654,永02转债,603901,永创智能,2025-02-13,,,9.69,197.895,162.2291,21.98,124.8,6.10547,2028-08-04,1.27,29.58,盈利,480.75,2.54,2
127079,华亚转债,003043,华亚智能,2025-02-21,52.92,43.3,30.73,201.391,170.5174,18.11,131.2,3.4,2028-12-16,0.49,7.73,盈利,693.88,2.91,2
127053,豪美转债,002988,豪美新材,2023-05-12,21.29,17.97,17.23,244.625,220.6036,10.89,169.7,8.24,2028-01-24,1.43,55.82,盈利,576.22,2.01,1
